geneID	gene_name	description	chrom	desc	start	stop	strand
102466751	MIR6859-1	microRNA 6859-1	1	gene	17369	17436	-
100302278	MIR1302-2	microRNA 1302-2	1	gene	30366	30503	+
645520	FAM138A	family with sequence similarity 138 member A	1	gene	34611	36081	-
79501	OR4F5	olfactory receptor family 4 subfamily F member 5	1	gene	69091	70008	+
729737	LOC729737	uncharacterized LOC729737	1	gene	134773	140566	-
100132287	LOC100132287	uncharacterized LOC100132287	1	gene	323892	328581	+
729759	OR4F29	olfactory receptor family 4 subfamily F member 29	1	gene	367659	368597	+
101928626	LOC101928626	uncharacterized LOC101928626	1	gene	562760	564389	-
102465432	MIR6723	microRNA 6723	1	gene	567705	567793	-
81399	OR4F16	olfactory receptor family 4 subfamily F member 16	1	gene	621096	622034	-
100133331	LOC100133331	uncharacterized LOC100133331	1	gene	661139	665731	-
100288069	LOC100288069	uncharacterized LOC100288069	1	gene	700245	714068	-
400728	FAM87B	family with sequence similarity 87 member B	1	gene	752751	755214	+
79854	LINC00115	long intergenic non-protein coding RNA 115	1	gene	761586	762902	-
643837	LINC01128	long intergenic non-protein coding RNA 1128	1	gene	762971	794826	+
284593	FAM41C	family with sequence similarity 41 member C	1	gene	803451	812182	-
100130417	LOC100130417	uncharacterized LOC100130417	1	gene	852198	855072	-
148398	SAMD11	sterile alpha motif domain containing 11	1	gene	861121	879961	+
26155	NOC2L	NOC2 like nucleolar associated transcriptional repressor	1	gene	879583	894679	-
339451	KLHL17	kelch like family member 17	1	gene	895967	901099	+
84069	PLEKHN1	pleckstrin homology domain containing N1	1	gene	901877	910488	+
84808	PERM1	PPARGC1 and ESRR induced regulator%2C muscle 1	1	gene	910579	917497	-
57801	HES4	hes family bHLH transcription factor 4	1	gene	934342	935552	-
9636	ISG15	ISG15 ubiquitin-like modifier	1	gene	948847	949920	+
375790	AGRN	agrin	1	gene	955503	991499	+
401934	RNF223	ring finger protein 223	1	gene	1007126	1009687	-
54991	C1orf159	chromosome 1 open reading frame 159	1	gene	1017198	1051736	-
254099	LINC01342	long intergenic non-protein coding RNA 1342	1	gene	1072397	1079436	+
406984	MIR200B	microRNA 200b	1	gene	1102484	1102578	+
406983	MIR200A	microRNA 200a	1	gene	1103243	1103332	+
554210	MIR429	microRNA 429	1	gene	1104385	1104467	+
254173	TTLL10	tubulin tyrosine ligase like 10	1	gene	1109286	1133313	+
8784	TNFRSF18	TNF receptor superfamily member 18	1	gene	1138888	1142089	-
7293	TNFRSF4	TNF receptor superfamily member 4	1	gene	1146706	1149548	-
51150	SDF4	stromal cell derived factor 4	1	gene	1152288	1167447	-
126792	B3GALT6	beta-1%2C3-galactosyltransferase 6	1	gene	1167629	1170421	+
388581	FAM132A	family with sequence similarity 132 member A	1	gene	1177826	1182102	-
118424	UBE2J2	ubiquitin conjugating enzyme E2 J2	1	gene	1189292	1209234	-
6339	SCNN1D	sodium channel epithelial 1 delta subunit	1	gene	1215816	1227409	+
116983	ACAP3	ArfGAP with coiled-coil%2C ankyrin repeat and PH domains 3	1	gene	1227764	1243269	-
102465434	MIR6726	microRNA 6726	1	gene	1231490	1231550	-
126789	PUSL1	pseudouridylate synthase-like 1	1	gene	1243960	1247057	+
54973	INTS11	integrator complex subunit 11	1	gene	1246965	1260067	-
102465435	MIR6727	microRNA 6727	1	gene	1247882	1247946	-
80772	CPTP	ceramide-1-phosphate transfer protein	1	gene	1260143	1264276	+
83756	TAS1R3	taste 1 receptor member 3	1	gene	1266726	1270700	+
1855	DVL1	dishevelled segment polarity protein 1	1	gene	1270658	1284492	-
102466740	MIR6808	microRNA 6808	1	gene	1275030	1275088	-
54587	MXRA8	matrix remodeling associated 8	1	gene	1288069	1298921	-
54998	AURKAIP1	aurora kinase A interacting protein 1	1	gene	1309110	1310818	-
81669	CCNL2	cyclin L2	1	gene	1321091	1334718	-
148413	LOC148413	uncharacterized LOC148413	1	gene	1334910	1337426	+
55052	MRPL20	mitochondrial ribosomal protein L20	1	gene	1337276	1342693	-
441869	ANKRD65	ankyrin repeat domain 65	1	gene	1353800	1356824	-
643965	TMEM88B	transmembrane protein 88B	1	gene	1361508	1363167	+
102724312	LINC01770	long intergenic non-protein coding RNA 1770	1	gene	1365537	1369953	-
64856	VWA1	von Willebrand factor A domain containing 1	1	gene	1370903	1378262	+
219293	ATAD3C	ATPase family%2C AAA domain containing 3C	1	gene	1385069	1405538	+
83858	ATAD3B	ATPase family%2C AAA domain containing 3B	1	gene	1407135	1431584	+
55210	ATAD3A	ATPase family%2C AAA domain containing 3A	1	gene	1447523	1470067	+
339453	TMEM240	transmembrane protein 240	1	gene	1470158	1475740	-
29101	SSU72	SSU72 homolog%2C RNA polymerase II CTD phosphatase	1	gene	1477053	1510262	-
643988	FNDC10	fibronectin type III domain containing 10	1	gene	1533388	1535476	-
142678	MIB2	mindbomb E3 ubiquitin protein ligase 2	1	gene	1550795	1565990	+
8510	MMP23B	matrix metallopeptidase 23B	1	gene	1567560	1570030	+
728661	SLC35E2B	solute carrier family 35 member E2B	1	gene	1592939	1624243	-
728642	CDK11A	cyclin dependent kinase 11A	1	gene	1633822	1656004	-
9906	SLC35E2	solute carrier family 35 member E2	1	gene	1656277	1677438	-
65220	NADK	NAD kinase	1	gene	1682671	1711508	-
2782	GNB1	G protein subunit beta 1	1	gene	1716724	1822556	-
163688	CALML6	calmodulin like 6	1	gene	1846266	1848733	+
339456	TMEM52	transmembrane protein 52	1	gene	1849029	1850740	-
85452	CFAP74	cilia and flagella associated protein 74	1	gene	1853390	1935276	-
2563	GABRD	gamma-aminobutyric acid type A receptor delta subunit	1	gene	1950768	1962192	+
105378591	LOC105378591	uncharacterized LOC105378591	1	gene	1980640	1981509	-
